Date,Open,High,Low,Close,Volume
2025-07-03,111,113,106,110.35,5240704
2025-07-04,106,110,104.83,108.4,1032621
2025-07-07,106.5,108,103.5,104.16,325414
2025-07-08,102.7,106,101,102.93,279589
2025-07-09,104,106,103,104.49,384988
2025-07-10,105.9,108.96,102.11,108.39,385805
2025-07-11,109.9,110.7,106.61,107.02,574744
2025-07-14,107.9,108.09,104.75,107.48,237590
2025-07-15,107.39,111.4,106.1,110.79,684195
2025-07-16,111.25,114.05,110.01,113.63,1271417
2025-07-17,116.7,121.5,115.26,115.81,3801036
2025-07-18,116.9,117.3,112.21,113.34,762157
2025-07-21,113.5,115.5,111.1,112.37,1105853
2025-07-22,113.5,122,111.54,116.51,3170057
2025-07-23,118.49,119.5,115.7,117.61,991094
2025-07-24,118,119.04,113.25,114.04,960677
2025-07-25,113,113,107.05,107.53,1562371
2025-07-28,107.55,109.62,105.11,105.96,461308
2025-07-29,106,108.83,105.22,108.25,267416
2025-07-30,109,112.79,107.1,111.86,559452
2025-07-31,109.03,112.2,108.92,109.57,400911
2025-08-01,110,112,109.01,110.93,697715
2025-08-04,111.89,111.99,106.11,107.27,442316
2025-08-05,106.55,108.19,103.9,104.06,356582
2025-08-06,106,106,100.99,102.95,225225
2025-08-07,101.61,104.87,101.12,104.01,637110
2025-08-08,105,105.99,102.71,104.87,548300
2025-08-11,105,107.47,103.41,106.46,256215
2025-08-12,106.9,107.99,105.32,105.8,158650
2025-08-13,105.55,108.99,105.24,106.32,654221
2025-08-14,106.1,106.61,97.99,98.89,526843
2025-08-18,100,110.99,100,109.14,2088949
2025-08-19,109.3,111,107.81,109.36,655378
2025-08-20,108.55,113.99,108.55,111.19,909322
2025-08-21,111.98,112.48,108.5,109.2,238704
2025-08-22,110.89,117.5,110.29,115.03,1820909
2025-08-25,115.65,117.3,113.1,113.64,428190
2025-08-26,114,114.21,107.5,108.64,509685
2025-08-28,110.25,110.25,104.71,106.78,366259
2025-08-29,107.85,107.85,105.02,105.57,173633
2025-09-01,106.3,107.56,103.1,104.65,223104
2025-09-02,106.9,109,104.83,105.16,313092
2025-09-03,105.69,107.79,105.51,106.98,245835
2025-09-04,107,117,105.41,112.92,2275886
