Date,Open,High,Low,Close,Volume
2025-05-27,243,255.15,243,255.15,2004551
2025-05-28,267,267,242.39,244.53,1624383
2025-05-29,232.3,232.3,232.3,232.3,85603
2025-05-30,220.68,229.9,220.68,224.01,849305
2025-06-02,221.7,227,216.51,220.03,411760
2025-06-03,222.9,224,216.26,218.79,207736
2025-06-04,219,225,216.46,223.88,183642
2025-06-05,225.05,232.5,219,227.99,215775
2025-06-06,229.7,232,225.05,231.04,83187
2025-06-09,232.75,242.59,231,242.59,264844
2025-06-10,249,251.5,236.2,247.71,467809
2025-06-11,247.71,252,235,236.77,472240
2025-06-12,237,238.39,227.01,229.31,274649
2025-06-13,222,235,218.25,233.08,401796
2025-06-16,239.01,239.44,228.5,233.74,190574
2025-06-17,234.5,235.03,225.65,226.53,166120
2025-06-18,227,229,221.79,223.57,104102
2025-06-19,224.68,226.9,217.39,221.4,209493
2025-06-20,219.7,222.53,217.5,218.11,273027
2025-06-23,217,226.7,217,223.93,527036
2025-06-24,226.05,227.04,219.36,220.23,171896
2025-06-25,220.05,224.9,219,219.93,305750
2025-06-26,220,223.55,218.81,219.79,166110
2025-06-27,221,221.98,218.51,219.09,126006
2025-06-30,219.99,221,218.5,219.13,75963
2025-07-01,221,222,217.3,218,221823
2025-07-02,219.59,230.2,218.73,221.12,732386
2025-07-03,222,225.5,221.21,222.86,125837
2025-07-04,222.1,224,220.25,221.34,71061
2025-07-07,223.4,226.5,220,220.84,178101
2025-07-08,221.5,229.9,221.5,226.92,384133
2025-07-09,225,236.99,224.9,233.82,657181
2025-07-10,235,235,225,225.95,277200
2025-07-11,225.5,229.88,222,227.62,224556
2025-07-14,227,231.65,225,227.05,164250
2025-07-15,227.1,230.01,225.22,228.64,106650
2025-07-16,230.95,244.79,229.11,236.31,831616
2025-07-17,241.09,245,235,236.6,360990
2025-07-18,238.6,240.17,233.28,237.91,310946
2025-07-21,238.08,239.71,226.5,227.82,208569
2025-07-22,227.82,235.18,227.1,227.67,198637
2025-07-23,228.04,229.32,224,225.61,127637
2025-07-24,225.7,227.99,222.22,223.38,93091
2025-07-25,223.38,223.51,219.61,222.35,126247
2025-07-28,222.9,224.9,217.06,217.84,97481
2025-07-29,219.9,227.9,218.64,225.44,161256
2025-07-30,223.21,226.73,221,221.88,60503
2025-07-31,220,222.76,217,219.96,47596
2025-08-01,221.9,222.98,217.5,219.5,86360
2025-08-04,220,222,218,220.41,53847
2025-08-05,223.8,226,220.1,222.45,174495
2025-08-06,223.33,223.33,218.11,220.23,121881
2025-08-07,219.6,222,218.54,221.26,71238
2025-08-08,222,223.38,219.35,220.18,111420
2025-08-11,221.5,222.59,217.08,219.62,104840
2025-08-12,220.99,222.3,218.18,218.89,57024
2025-08-13,220.95,220.97,218,218.38,23805
2025-08-14,220,222.97,218,222.09,72363
2025-08-18,224.9,224.9,221.05,222.81,69950
2025-08-19,224.81,224.81,220,220.48,81100
2025-08-20,221.99,221.99,218.6,219.46,43222
2025-08-21,218.95,220.99,217,217.75,244774
2025-08-22,217.08,219,216,216.8,96515
2025-08-25,217.99,218,216,216.23,45196
2025-08-26,216,216.23,213,215.39,216663
2025-08-28,213.54,215.27,213,214.55,46190
2025-08-29,216.03,216.04,213.01,214.41,39495
2025-09-01,215,215.9,213,214.76,57738
2025-09-02,214.76,217,214.5,216.36,100475
2025-09-03,216,216,213.49,214.47,24707
2025-09-04,215.9,215.9,211,212.64,22532
