Date,Open,High,Low,Close,Volume
2023-12-22,30.05,30.05,29.9,29.9,7400
2023-12-26,31.35,31.35,31.35,31.35,4745
2023-12-27,32.9,32.9,32.9,32.9,12029
2023-12-28,34.5,34.5,34.5,34.5,2100
2023-12-29,36.2,36.2,36.2,36.2,2100
2024-01-01,38,38,38,38,7190
2024-01-02,39.9,39.9,39.85,39.9,101708
2024-01-03,37.95,37.95,37.9,37.9,33167
2024-01-04,36,36,36,36,21215
2024-01-05,34.2,37.8,34.2,37.5,82925
2024-01-08,38.4,39,36.25,38.15,34252
2024-01-09,39,39.9,36.55,39.25,18991
2024-01-10,39.6,39.6,37.3,38.95,20439
2024-01-11,38,39.45,37.55,38.05,7060
2024-01-12,38.05,39.15,36.6,38.85,8418
2024-01-15,37.5,38.95,36.9,36.9,6964
2024-01-16,36.9,36.9,35.05,35.05,19903
2024-01-17,36.5,36.5,33.3,33.3,30957
2024-01-18,33.3,34,32,33.75,18459
2024-01-19,34.45,35,33.1,34.75,11332
2024-01-20,35.9,36.45,35.9,36.45,7353
2024-01-23,36.45,38.25,36.1,36.5,24779
2024-01-24,38,38.3,34.75,37.9,12118
2024-01-25,38.85,38.85,36,36.35,10251
2024-01-29,38,38,34.6,34.7,6432
2024-01-30,34.9,35.95,33,33.3,11568
2024-01-31,33.7,33.7,32,32.95,18295
2024-02-01,33.65,34,31.5,31.7,5624
2024-02-02,32.2,32.2,30.15,30.15,8706
2024-02-05,30.15,31.6,28.7,29.55,14898
2024-02-06,29.7,30.85,29.15,29.2,11704
2024-02-07,30.1,30.65,29.7,30.25,17470
2024-02-08,31.75,31.75,28.8,30,11469
2024-02-09,29.95,30,28.5,29.5,5911
2024-02-12,30.6,30.6,28.05,28.05,8157
2024-02-13,28.05,28.2,26.65,27,19101
2024-02-14,25.65,27.25,25.65,26.5,12509
2024-02-15,27.8,27.8,26.5,27.8,13441
2024-02-16,28.5,29.15,28.5,29.15,2564
2024-02-19,30.25,30.6,29.5,30.1,20557
2024-02-20,30.9,31.5,29,29.4,9662
2024-02-21,29,29.9,28,28.15,16220
2024-02-22,29,29.5,26.8,28.6,3298
2024-02-23,30,30,27.55,27.8,5390
2024-02-26,27.8,28.85,27.8,28.3,2706
2024-02-27,28.5,29.1,27,28.7,4323
2024-02-28,28.3,28.3,27.3,27.3,13112
2024-02-29,27.3,28.1,26,27,7910
2024-03-01,27.35,27.35,25.7,26.85,6484
2024-03-02,25.5,28.15,25.5,27.65,3450
2024-03-04,28,28,26.5,27.85,4545
2024-03-05,28.2,28.2,26.5,26.6,5480
2024-03-06,25.3,26.9,25.3,25.5,6545
2024-03-07,26,26,24.4,25.85,5898
2024-03-11,26.1,27.1,24.55,24.55,15782
2024-03-12,25.5,25.5,23.35,23.6,2385
2024-03-13,23.9,23.9,22.45,22.45,6020
2024-03-14,21.35,22.45,21.35,21.35,7587
2024-03-15,21.8,22.4,20.3,21.3,12754
2024-03-18,21.75,21.75,20.25,20.3,16634
2024-03-19,20.5,21.25,19.3,20.75,21883
2024-03-20,21.5,21.5,20.05,20.3,14619
2024-03-21,20.85,21.25,20.85,21,8904
2024-03-22,21,22,20.45,20.55,2916
2024-03-26,21.15,21.55,19.95,21.55,25858
2024-03-27,21.5,22.55,20.5,21,3299
2024-03-28,21.45,22.05,21.45,22.05,3451
2024-04-01,22.6,23.1,20.95,23.1,3304
2024-04-02,23,24.25,23,24.25,750
2024-04-03,24.5,24.5,24.5,24.5,1410
2024-04-04,24.45,24.45,24.45,24.45,326
