Date,Open,High,Low,Close,Volume
2025-03-19,1001.47,1001.49,1001.47,1001.49,78708
2025-03-20,1001.64,1001.66,1001.64,1001.65,10053
2025-03-21,1002.15,1002.17,1002.15,1002.16,1501
2025-03-24,1002.32,1002.32,1002.3,1002.31,2584
2025-03-25,1002.48,1002.48,1002.48,1002.48,10
2025-03-26,1002.64,1002.64,1002.62,1002.63,537
2025-03-27,1002.8,1002.8,1002.78,1002.78,17920
2025-04-01,1003.72,1003.72,1003.7,1003.71,4
2025-04-02,1003.14,1003.84,1003.14,1003.84,1021538
2025-04-03,1003.97,1003.99,1003.97,1003.99,29257
2025-04-04,1004.45,1004.47,1004.45,1004.47,65750
2025-04-07,1034.6,1034.6,1004,1004.6,37410
2025-04-08,1004.76,1004.76,1004.76,1004.76,11323
2025-04-09,1005.08,1005.1,1005.08,1005.1,1658
2025-04-11,1005.69,1005.71,1005.69,1005.71,299
2025-04-15,1005.82,1005.84,1005.82,1005.84,723
2025-04-16,1005.97,1005.99,1005.97,1005.97,4260
2025-04-17,1006.59,1006.59,1006.59,1006.59,148
2025-04-21,1006.74,1006.74,1006.72,1006.74,149076
2025-04-22,1006.89,1006.89,1006.87,1006.87,266
2025-04-23,1007.03,1007.05,1007.03,1007.05,3867
2025-04-24,1007.18,1007.2,1007.18,1007.2,40238
2025-04-25,1007.65,1007.67,1007.65,1007.65,778
2025-04-28,1007.79,1007.81,1007.79,1007.81,1355
2025-04-29,1007.94,1007.96,1007.94,1007.96,45347
2025-04-30,1008.27,1008.27,1008.25,1008.26,40541
2025-05-02,1008.74,1008.74,1008.72,1008.74,20171
2025-05-05,1008.88,1008.88,1008.86,1008.87,230407
2025-05-06,1009.02,1009.02,1009,1009,2947
2025-05-07,1009.16,1009.18,1009.16,1009.18,72350
2025-05-08,1009.33,1009.33,1009.33,1009.33,142006
2025-05-09,1009.94,1009.96,1009.94,1009.94,5755
2025-05-12,1009.96,1009.96,1009.94,1009.96,186732
2025-05-13,1008.99,1010.09,1008.99,1010.09,79772
2025-05-14,1010.22,1010.24,1010.22,1010.23,173797
