Date,Open,High,Low,Close,Volume
2024-09-03,990,994.55,802.1,839.9,58922092
2024-09-04,816.6,872.65,803.05,841.9,11523876
2024-09-05,856.1,1010.25,852.2,1004.8,36818046
2024-09-06,1010,1188.9,982,1096.05,44767796
2024-09-09,1120,1235,1105,1208.65,28659020
2024-09-10,1240,1267.95,1111.9,1173.7,22676122
2024-09-11,1154.2,1167.95,1082.65,1098.1,8804576
2024-09-12,1111,1157.7,1085,1132.5,8259315
2024-09-13,1142.9,1144,1096.45,1112.15,3507316
2024-09-16,1110,1124,1045,1109.85,5561217
2024-09-17,1104.5,1128.7,1082.65,1113.3,3828734
2024-09-18,1122.9,1148.6,1090,1134.85,3803064
2024-09-19,1145,1157.35,1075,1099.1,3699807
2024-09-20,1140,1140,1100.2,1109.2,1730908
2024-09-23,1116,1120,1080,1090.9,1625670
2024-09-24,1083.9,1087.85,1062.35,1077.1,1541568
2024-09-25,1070.3,1073,1024,1036.35,2041656
2024-09-26,1029,1086.35,1017,1049.35,3779481
2024-09-27,1035.1,1077,1032,1051.65,1876970
2024-09-30,1045,1091,1012.05,1082.9,4677852
2024-10-01,1080,1122,1068.15,1109.35,3881983
2024-10-03,1084,1093.65,1056.05,1080.45,3090856
2024-10-04,1066,1103.9,1030.3,1047.4,2277332
2024-10-07,1045.75,1059.2,977.7,997.2,2917540
2024-10-08,990,1022,973,1014.3,2846197
2024-10-09,1030.9,1087.8,1021.35,1079.05,4106614
2024-10-10,1085,1119.3,1069,1105.7,2442587
2024-10-11,1101.3,1119,1090.05,1107.4,1518596
2024-10-14,1120,1216.8,1120,1133.6,8088647
2024-10-15,1143,1166.6,1118.3,1148.25,2089567
2024-10-16,1135,1150.95,1125.7,1135.35,1369581
2024-10-17,1144.7,1144.7,1078.8,1084.1,1842194
2024-10-18,1076,1111.95,1055.1,1094.65,1676203
2024-10-21,1100,1106,1035.1,1042.3,1225626
2024-10-22,1048.9,1050.45,991,997.65,1319705
2024-10-23,1000,1034.8,991.75,998.85,1831265
2024-10-24,1014.95,1018.5,975.05,978.35,941634
2024-10-25,985,992.45,925.1,945.05,2223957
2024-10-28,952.85,982,922.85,960.25,2051338
2024-10-29,964.85,968,945.9,952.75,800779
2024-10-30,950,1019.7,948.15,1001.65,2344186
2024-10-31,1000.4,1034.4,998.05,1021.2,1803848
2024-11-01,1033.8,1090,1032.55,1075.95,1301411
2024-11-04,1103.35,1119.65,1045,1075.65,3707097
2024-11-05,1073.65,1185,1061.35,1168.15,7614525
2024-11-06,1200,1245,1170,1189.1,7807522
2024-11-07,1165,1176.95,1085,1093.1,3856973
2024-11-08,1101.65,1143,1083.05,1127.95,3522594
2024-11-11,1100,1100,1001,1040.6,7238299
2024-11-12,1045.8,1086.3,1024.7,1028.65,3596126
2024-11-13,1029,1049.95,975.05,982.7,2890543
2024-11-14,990,1009.2,957.1,968.95,2200387
2024-11-18,985,1097.9,969.45,1085.1,6860406
2024-11-19,1064.05,1137.9,1050,1093.8,5523677
2024-11-21,1081,1123,1067.65,1085.45,3480938
2024-11-22,1093,1109.9,1050,1061.4,2134800
2024-11-25,1087,1104.85,1052.2,1095.9,2663046
2024-11-26,1129,1137,1097,1100.85,2939791
2024-11-27,1111,1149,1093.1,1111,2506692
2024-11-28,1102.05,1168.8,1102.05,1137.45,5990868
2024-11-29,1142.75,1242,1125,1222.95,6446974
2024-12-02,1235,1278,1182.1,1243.7,7664138
2024-12-03,1246,1251.7,1195,1214.8,4478213
2024-12-04,1214,1296,1202.05,1284.6,6995299
2024-12-05,1302,1329,1259,1273.4,6023408
2024-12-06,1272.95,1304.1,1256.05,1263.75,3061584
2024-12-09,1267.6,1325,1265.05,1291.6,3827579
2024-12-10,1300,1334.85,1251.4,1281.3,4235642
2024-12-11,1290,1344.5,1290,1329.15,5097261
2024-12-12,1336.1,1348.9,1295,1307.35,3193266
2024-12-13,1307,1316.75,1264,1294.85,3163298
2024-12-16,1299.75,1381,1295.75,1373.5,5096000
2024-12-17,1373,1388,1320,1323.95,2517300
2024-12-18,1327.6,1333.3,1278,1290.5,2050792
2024-12-19,1259,1317.35,1252.1,1295.4,2151769
2024-12-20,1320.9,1355.05,1289,1296.4,3591672
2024-12-23,1312.4,1339,1284.8,1321.65,1909099
2024-12-24,1322.45,1338.5,1307.7,1320.2,1395348
2024-12-26,1328.8,1335,1274.8,1285.95,1910072
2024-12-27,1285,1324.8,1281.75,1310.35,1703857
2024-12-30,1310.5,1364.8,1297.5,1334.6,2341595
2024-12-31,1330,1360.05,1300,1353.1,1810356
2025-01-01,1357,1384,1325,1332.6,1609505
2025-01-02,1331.65,1341.6,1309.7,1327.8,1264813
2025-01-03,1336,1379,1317.3,1324.7,2433129
2025-01-06,1334,1339,1263.55,1274.75,1770229
2025-01-07,1280,1311,1271.25,1305.15,1112019
2025-01-08,1295,1304.9,1220.25,1255.65,1908335
2025-01-09,1252,1252,1201.15,1212,1242117
2025-01-10,1200,1209.8,1116,1127.1,2187068
2025-01-13,1115,1170.95,1090.55,1095.9,2321556
2025-01-14,1122,1137.3,1086.1,1116,1977483
2025-01-15,1166.1,1179,1126.65,1147,2772232
2025-01-16,1160,1183.5,1156.85,1170.45,1200386
2025-01-17,1169.1,1169.1,1134.25,1140.9,655244
2025-01-20,1148,1199,1145.05,1193.95,1358542
2025-01-21,1192.75,1212,1170,1176.05,1158878
2025-01-22,1180,1180,1023.1,1038.8,3153329
2025-01-23,1030,1056.35,1011,1036.45,3033184
2025-01-24,1042,1062.2,971.15,999.35,2155689
2025-01-27,971.1,991.3,925.8,932.4,2520932
2025-01-28,932.9,941.9,818,880.1,5966126
2025-01-29,890.25,945.75,880.35,939.2,4790205
2025-01-30,944,966.9,918,949.5,2235479
2025-01-31,997.95,1049,976.55,1032.05,5257280
2025-02-01,1040,1118.1,1039,1092.95,3756879
2025-02-03,1079.85,1081.15,1017.5,1070.4,2453915
2025-02-04,1145,1170,997.15,1019.25,9921270
2025-02-05,1034.9,1048.35,1014.3,1021,1896868
2025-02-06,1028,1042.7,1015.2,1021.95,1089124
2025-02-07,1022.8,1042.4,1012.1,1036.45,1137893
2025-02-10,1028.55,1034.5,978.1,984.05,1145912
2025-02-11,983.6,987.2,915,934.65,1888494
2025-02-12,929.4,983.6,894.5,970.6,3248435
2025-02-13,976.15,1020.45,964.1,1000.25,1977917
2025-02-14,1014.9,1017.95,954.1,961.8,2295939
2025-02-17,961,978,927.55,969.05,1458839
2025-02-18,976.7,987,947.5,979.65,1379669
2025-02-19,970,1012,959.4,999.9,1553437
2025-02-20,990,1018.35,980,986.15,870348
2025-02-21,982.7,998,959,970.85,858321
2025-02-24,954,964.4,936.2,940.4,753520
2025-02-25,945,963.45,942.55,945.15,516657
2025-02-27,952.9,953.55,907.35,924.3,744649
2025-02-28,875,906,840.15,873.3,3020606
2025-03-03,878,884.6,827.1,855.7,2212033
2025-03-04,844.95,882,838,857.5,831012
2025-03-05,861.3,946,859.35,901.35,2479725
2025-03-06,910.5,926.85,905.55,923.2,1154720
2025-03-07,921,959.6,919,940.45,1080186
2025-03-10,940,948.75,890,897.15,624450
2025-03-11,883.4,915.9,878.8,911.55,1048513
2025-03-12,916,919.95,890.45,895.25,413414
2025-03-13,900,907,881.9,888.15,509422
2025-03-17,890.6,919,883.3,887.95,1373666
2025-03-18,900,903.9,885.1,894.2,803886
2025-03-19,896.95,937.5,896,930.7,1049924
2025-03-20,936,953.9,928.3,947.95,902891
2025-03-21,952,952,900.9,915.7,7125588
2025-03-24,928.7,934.95,912.1,921.25,1261491
2025-03-25,927.1,941.8,905.4,910.05,2023075
2025-03-26,915,918.65,891,898.2,886027
2025-03-27,896.05,961.3,883.3,948.6,2075003
2025-03-28,948.95,952.4,930.25,937.95,1075416
2025-04-01,924,935.65,908,910,579415
2025-04-02,895,896.35,883.35,889.8,738005
2025-04-03,880,905.85,877.35,894.4,513686
2025-04-04,890,896,840,879.25,1554324
2025-04-07,776,864,774.05,843.15,1040472
2025-04-08,873.15,879.75,842.55,847.55,705939
2025-04-09,849,864,827.6,854.15,941301
2025-04-11,875,895,867.6,892.95,813505
2025-04-15,905,932,901.15,929.15,1326160
2025-04-16,929,945.1,913.55,940.75,1105970
