Date,Open,High,Low,Close,Volume
2024-10-23,342,359.1,342,359.1,830400
2024-10-24,376.95,376.95,341.15,341.15,944000
2024-10-25,324.1,324.1,324.1,324.1,12800
2024-10-28,307.9,307.9,307.9,307.9,4800
2024-10-29,292.5,292.5,292.5,292.5,2400
2024-10-30,280,307.1,280,307,685600
2024-10-31,318,319.65,300.9,304.5,178400
2024-11-01,309,319,291.65,316.3,117600
2024-11-04,315,316.3,300.5,307.3,175200
2024-11-05,308.3,322.65,308.3,320.3,138400
2024-11-06,336.3,336.3,336.3,336.3,26400
2024-11-07,347.5,352.8,324.1,331.6,332800
2024-11-08,332.05,364.95,332.05,340.3,315200
2024-11-11,333.75,344.95,310,316.9,147200
2024-11-12,317.25,340,302.35,319.2,236000
2024-11-13,299,303,274.4,275.55,273600
2024-11-14,262.1,279,262.1,272.7,74400
2024-11-18,265.2,277,265.2,274.4,50400
2024-11-19,278.95,283.95,268,275.95,95200
2024-11-21,275,275,262,264.9,155200
2024-11-22,260.5,265,252.2,255.45,40800
2024-11-25,264,264,251.4,255.7,57600
2024-11-26,256.05,257.95,247.65,249.25,28000
2024-11-27,248,254,246.3,251.2,23200
2024-11-28,255.5,268,252,255.15,61600
2024-11-29,259.6,265,245.6,247.25,75200
2024-12-02,249.05,259,246,258.3,78400
2024-12-03,258,288,254,281,178400
2024-12-04,287.85,292,277,277.55,68000
2024-12-05,283,283,260.8,279.1,80000
2024-12-06,279.1,283,275.5,276.8,36800
2024-12-09,279.1,279.1,270.25,277.9,77600
2024-12-10,277.7,277.7,263.3,270.05,75200
2024-12-11,273,323.1,270,317.25,353600
2024-12-12,320.95,327.4,303.1,306.3,101600
2024-12-13,303,304,286,289.55,114400
2024-12-16,289.55,297,289,290.7,41600
2024-12-17,292.2,320,283.2,309,126400
2024-12-18,311,345.85,305,338.5,472800
2024-12-19,328.45,363,320,348.35,371200
2024-12-20,357.85,372.5,335.05,340.25,276800
2024-12-23,348.2,355,341,341.75,80000
2024-12-24,339.75,345,322,328.9,129600
2024-12-26,334,339.5,315,320.1,88800
2024-12-27,324.9,324.9,310,319.7,57600
2024-12-30,319.7,319.7,297.9,299.15,71200
2024-12-31,303.9,340,301.65,330.7,152000
2025-01-01,334,342,331,334.6,56800
2025-01-02,334.6,343.95,314.05,323.25,117600
2025-01-03,323.25,323.8,312,315.8,62400
2025-01-06,323.7,328,308,313.3,108000
2025-01-07,318.9,321.8,315,316.9,48000
2025-01-08,312.1,312.15,305.7,308.8,38400
2025-01-09,314,314,301.05,303.05,40800
2025-01-10,301,302.45,288,291.55,84000
2025-01-13,280.05,289,266.05,270.9,95200
2025-01-14,272,296.2,269.95,290.1,107200
2025-01-15,292.5,297.8,286.55,290.3,31200
2025-01-16,298.65,298.65,286.1,287.8,24800
2025-01-17,287.8,287.8,270,277.1,62400
2025-01-20,283.85,285,264,273.55,273600
2025-01-21,273.55,276.9,262.1,265,97600
2025-01-22,265,269.5,257,260.7,48000
2025-01-23,264.5,288.95,260.5,283.85,230400
2025-01-24,286.9,292,268.5,269.5,72000
2025-01-27,267,267,251.1,256,36000
2025-01-28,263,264,234,247.35,61600
2025-01-29,257.9,274,257.9,269,59200
2025-01-30,270,272.45,258.8,261.2,24000
2025-01-31,261.2,270,258,262,56800
2025-02-01,273,273,254,264.15,30400
2025-02-03,258,258,255.05,257.1,12800
2025-02-04,260.05,260.05,255,260,12000
2025-02-05,259.25,265,259.25,264.8,11200
2025-02-06,267.9,270,264.25,264.25,11200
2025-02-07,265.1,265.1,259.55,261,16800
2025-02-10,256.7,256.7,247.7,248.25,20000
2025-02-11,240.65,240.65,216.55,223.85,64000
2025-02-12,222,222.55,202,215.25,123200
2025-02-13,218,225,217,220.65,24800
2025-02-14,225.9,225.9,202.05,205.1,75200
2025-02-17,207,209.8,188.95,193.6,77600
2025-02-18,193.6,193.6,178,183.85,52800
2025-02-19,183,200.5,172.35,194.55,40800
2025-02-20,194,204.25,194,204.25,28000
2025-02-21,209,209,198.1,201.95,15200
2025-02-24,193,203.9,193,202.6,28800
2025-02-25,204,204,195,196.45,24800
2025-02-27,196.5,200,186.65,186.7,22400
2025-02-28,181,181,177.4,177.4,28800
2025-03-03,180.75,180.75,168.55,169.65,44800
2025-03-04,164,173.45,161.7,168.5,41600
2025-03-05,172.35,176.9,172.35,176.9,21600
2025-03-06,177.1,185.7,177,185.7,20800
2025-03-07,194.95,194.95,185,187.1,60800
2025-03-10,191.85,192.95,180.15,183.45,51200
2025-03-11,184.7,184.7,175,180,26400
2025-03-12,180,180.45,176.25,178.5,12800
2025-03-13,178.5,180.9,169.6,169.6,60000
2025-03-17,163.2,177.9,161.15,161.15,50400
2025-03-18,161.15,162.6,153.1,159.85,63200
2025-03-19,161,167.8,160,167.8,40000
2025-03-20,167.8,176.15,167.8,176.15,55200
2025-03-21,180,184.45,171.25,175.35,56000
2025-03-24,177,183.55,177,181.4,57600
2025-03-25,178.1,184,173.3,174.75,37600
2025-03-26,171.1,172.05,166.5,166.9,45600
2025-03-27,166.5,168,158.55,158.9,63200
2025-03-28,160,166.8,159,161.5,71200
2025-04-01,167.9,169.55,163.05,169.55,9600
2025-04-02,174.9,176,171.1,172,15200
2025-04-03,164.55,180.6,164.55,180.4,28800
2025-04-04,179,179,172,175.15,10400
2025-04-07,166.4,166.4,166.4,166.4,2400
2025-04-08,161.8,173.7,161.8,170,12800
2025-04-09,163.8,167.45,163.05,163.35,12800
2025-04-11,171,171.5,168,171.5,28000
2025-04-15,179.95,180,176,178.1,22400
2025-04-16,180,180.45,174.05,175.5,13600
2025-04-17,171.15,175.6,171.15,175.55,12800
2025-04-21,178.85,184.3,178.85,184.3,72000
2025-04-22,192.75,192.75,189.5,190,16000
2025-04-23,190.25,199.5,190.25,198.1,32000
2025-04-24,198.1,204.95,195.2,195.2,25600
2025-04-25,194,195.95,185.45,188.15,28000
2025-04-28,190,192.5,189.9,192.5,10400
2025-04-29,192.5,201.05,192.5,194.5,16000
2025-04-30,192,192,186.55,186.85,12000
2025-05-02,188.8,191.9,181.55,183.25,6400
2025-05-05,185,188.1,182,188.1,7200
2025-05-06,185,185,179.5,179.5,8000
2025-05-07,179.35,179.75,175,178,14400
2025-05-08,177,182,176,178.2,28800
2025-05-09,175,176.4,171.5,175.4,11200
2025-05-12,183.9,184.15,183.9,184.15,5600
2025-05-13,193.35,193.35,190.2,193.3,28800
2025-05-14,197,201.9,196,199.45,28000
2025-05-15,189.5,189.5,189.5,189.5,16800
2025-05-16,180.05,189.5,180.05,180.05,156000
2025-05-19,171.1,185.3,171.05,175.3,132000
2025-05-20,172.95,173,166.55,166.85,62400
2025-05-21,166.9,171,162.65,166.9,34400
2025-05-22,166.9,170,166.9,170,11200
2025-05-23,169,169,165,167.25,19200
2025-05-26,169,171,167.5,167.7,24000
2025-05-27,168,169.3,164.25,165.6,24000
2025-05-28,165.65,169.9,165,168.95,15200
2025-05-29,172,172.9,168.5,169.05,21600
2025-05-30,167.85,172.2,167.85,170.8,9600
2025-06-02,165.15,170,165.1,166.9,16000
2025-06-03,166.05,169.8,166,166.2,21600
2025-06-04,166,166,164.1,164.55,8800
2025-06-05,164,164.55,160.2,161.35,18400
2025-06-06,162.5,165,160,164.5,9600
2025-06-09,168.8,173,168.8,171.25,21600
2025-06-10,171,171,156,163.85,20000
2025-06-11,162.5,168.7,162.5,165.4,9600
2025-06-12,162.45,165,155,160.3,38400
2025-06-13,150.25,160,150.25,159.3,20800
2025-06-16,160,160,154.75,157.25,26400
2025-06-17,156,157.5,155,155.25,38400
2025-06-18,157.9,158,151,153.1,30400
2025-06-19,151.6,151.7,150.05,150.1,9600
2025-06-20,150.1,151,146,147.65,44000
2025-06-23,147,150,147,149.8,13600
2025-06-24,150,159,150,155,35200
2025-06-25,154.5,155.9,150,154,15200
2025-06-26,160,161.9,153.1,156.55,15200
2025-06-27,155,156.95,154,154.75,17600
2025-06-30,154.4,156,153.1,154.5,9600
2025-07-01,154.5,154.5,152,152.75,9600
2025-07-02,154,155,145,146.1,61600
2025-07-03,145.5,146.1,144.85,145.75,13600
2025-07-04,142.5,144.5,140.55,142.45,44000
