Date,Open,High,Low,Close,Volume
2024-12-20,510,525,459,471.15,64151155
2024-12-23,492.15,505.45,478.45,482.2,14769046
2024-12-24,487,530.4,484.1,527.5,15928766
2024-12-26,544,580.25,537.1,580.25,19265662
2024-12-27,605,611,542.3,586.6,17364385
2024-12-30,582,583.9,547.25,554.55,4709588
2024-12-31,545,564.9,542.65,553.9,2846998
2025-01-01,561,603.35,557.05,594.9,5350965
2025-01-02,601.4,624,582.75,597.25,8248826
2025-01-03,599.4,629,591.35,615.2,6118584
2025-01-06,619.7,639.4,576.05,587,6920415
2025-01-07,593,624,584,612.5,4204735
2025-01-08,616,625.95,599.9,620.4,3646381
2025-01-09,623.45,642.3,600.1,602.9,3252335
2025-01-10,600,613.4,570.1,585.85,3433709
2025-01-13,578.8,589.85,541,548.7,3469047
2025-01-14,555.95,568,545,548.85,2485322
2025-01-15,550.85,561.7,530.75,540.05,2198983
2025-01-16,550,568.4,542,546.1,1797526
2025-01-17,535,542.9,515.05,518.1,3774660
2025-01-20,528,537.4,509.5,522,2846036
2025-01-21,524,535.5,505.65,509.5,2831202
2025-01-22,512.95,526,503.3,520.4,3205134
2025-01-23,523.9,563,523.7,548.35,3610776
2025-01-24,549.95,553.8,520,522.35,1355635
2025-01-27,516.9,516.9,477.1,484.95,2599224
2025-01-28,494,516.4,470,496.5,2980578
2025-01-29,497.4,521,493.3,514.75,1418342
2025-01-30,516.3,526.3,504,508.55,995237
2025-01-31,509.5,514.9,499.1,506.6,1577718
2025-02-01,507,523.8,486,512.7,1624064
2025-02-03,503,516.8,498.5,509.25,1176432
2025-02-04,513,534.4,506,530.45,1864367
2025-02-05,533,542.05,497.55,504.8,2582663
2025-02-06,506,509.8,493.3,500.5,1046188
2025-02-07,502,507.35,487,493.35,1037762
2025-02-10,493,494.85,475.6,480.8,977034
2025-02-11,481.95,485,452.55,457.15,2243910
2025-02-12,457,466,438.55,458.45,1629486
2025-02-13,462,478,451.3,471.25,1297925
2025-02-14,474.65,474.65,448.8,452.3,940478
2025-02-17,447.9,458.7,430,432.95,1307848
2025-02-18,433,436.55,418,427.2,1287046
2025-02-19,418,442,416.3,430.45,1384922
2025-02-20,427,449.25,426,446.1,1453122
2025-02-21,443.5,455.55,413.55,418.5,3296789
2025-02-24,413.95,422,396.7,414.95,2170259
2025-02-25,414.9,422.25,403.95,406.85,1117156
2025-02-27,408,414.2,394.75,398.15,979451
2025-02-28,393,411,389.3,406.95,1482105
2025-03-03,385,385,366.25,366.25,2194807
2025-03-04,332.25,343.65,329.65,331.45,9138989
2025-03-05,334,342.5,318,325.6,5530837
2025-03-06,329,341.85,327.1,332.25,5137017
2025-03-07,333,343.7,327.25,328.9,1977714
2025-03-10,330.05,333.65,312.45,312.45,2242847
2025-03-11,297.6,305.05,296.85,296.85,3424790
2025-03-12,295,304.9,282,295.45,2632485
2025-03-13,295.55,310.2,291.4,308.5,1761506
2025-03-17,313.75,313.75,296.05,304,1810218
2025-03-18,288.8,319.2,288.8,319.1,5120819
2025-03-19,325,335.05,319.25,327.8,2766744
2025-03-20,331,344.15,323,344.15,1878319
2025-03-21,354.95,361.35,347.55,361.35,2852914
2025-03-24,368,379.4,366,379.4,970758
2025-03-25,388.9,398.35,374,379.35,5540614
2025-03-26,384,386.85,361,365.75,2143017
2025-03-27,364,381,350.05,372.45,2852269
2025-03-28,373.95,391.05,373.95,385.2,2538897
2025-04-01,380.5,395,377.75,386.75,1557478
2025-04-02,389.15,394.5,373.2,391.1,1174281
2025-04-03,380.05,406.8,380.05,402.45,1522426
2025-04-04,400.1,405.2,382.35,382.35,938525
2025-04-07,363.25,363.25,363.25,363.25,63740
2025-04-08,364.9,374.25,345.1,345.1,1935798
2025-04-09,339,339.95,327.85,327.85,1162005
2025-04-11,335.4,343.65,330.6,337.3,1626182
2025-04-15,340.1,354.15,334.25,339.55,1987705
2025-04-16,342.8,342.8,333.15,336.5,1968426
2025-04-17,336.2,353.3,332.05,353.3,3373358
2025-04-21,360.8,370.95,354.15,369.2,5377804
2025-04-22,374,384,362.7,371.6,4020772
2025-04-23,374.95,382.9,358.35,367.7,2473213
2025-04-24,370,373.9,361.65,363.65,934691
2025-04-25,363.65,364.3,347.5,350.05,1586477
2025-04-28,349.95,359,344.55,350,1088803
2025-04-29,355.05,359.65,343.75,346.85,854332
2025-04-30,346,348.25,340.6,347.15,937588
2025-05-02,346.1,349.15,335,342.45,864305
2025-05-05,339.1,346.9,339.1,343.75,453494
2025-05-06,345,347.2,327,329.4,602131
2025-05-07,324.95,345.85,322.7,341.9,1527476
2025-05-08,346.55,358.95,341.1,346,1971446
2025-05-09,336.1,347,335.4,344.2,687733
2025-05-12,354,361.4,353.95,361.4,1030263
2025-05-13,362.5,378,362.5,372.8,1247480
2025-05-14,377,388.8,377,380.9,1240690
2025-05-15,385,391,380.5,382.8,993215
2025-05-16,382.85,384.5,374.55,378.6,784609
2025-05-19,380,387.4,375.8,385.15,651344
2025-05-20,386.8,391,373.55,376.6,956075
2025-05-21,378,384.4,372.35,377.7,514318
2025-05-22,375.1,379.5,367.55,372.25,403576
2025-05-23,373.75,379,368.05,375.2,390554
2025-05-26,375.55,381.95,372.1,375.55,447556
2025-05-27,375,377,366.9,369.8,557500
2025-05-28,371,371.95,364.35,367.05,403868
2025-05-29,367.9,373.3,362.1,370.85,992517
2025-05-30,372.95,389.35,368.1,388.9,3319983
